timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680412746731,592,/destination,200,OK,traffic distribution gojek 1-52,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,346,0,0
1680412747324,565,/pickup-location,200,OK,traffic distribution gojek 1-52,text,true,,19175,179,2,2,https://api-staging-builder.engineer.ai/configurations,320,0,0
1680412747027,1070,/top-up,200,OK,traffic distribution gojek 1-54,text,true,,19169,179,2,2,https://api-staging-builder.engineer.ai/configurations,823,0,498
1680412747890,579,/choose-vehicle,200,OK,traffic distribution gojek 1-52,text,true,,19175,179,2,2,https://api-staging-builder.engineer.ai/configurations,331,0,0
1680412748098,674,/pay,200,OK,traffic distribution gojek 1-54,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,429,0,0
1680412748470,672,/voucher,200,OK,traffic distribution gojek 1-52,text,true,,19175,179,3,3,https://api-staging-builder.engineer.ai/configurations,406,0,0
1680412748773,562,/destination,200,OK,traffic distribution gojek 1-54,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,311,0,0
1680412749144,573,/payment-methods,200,OK,traffic distribution gojek 1-52,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,328,0,0
1680412749336,573,/pickup-location,200,OK,traffic distribution gojek 1-54,text,true,,19175,179,2,2,https://api-staging-builder.engineer.ai/configurations,324,0,0
1680412749012,1051,/destination,200,OK,traffic distribution gojek 1-56,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,805,0,500
1680412749909,580,/choose-vehicle,200,OK,traffic distribution gojek 1-54,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,334,0,0
1680412750065,599,/pickup-location,200,OK,traffic distribution gojek 1-56,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,337,0,0
1680412750490,671,/voucher,200,OK,traffic distribution gojek 1-54,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,374,0,0
1680412750020,1241,/top-up,200,OK,traffic distribution gojek 1-57,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,934,0,522
1680412750665,646,/choose-vehicle,200,OK,traffic distribution gojek 1-56,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,384,0,0
